,1500,2200,2201,2202,2203,2204,2207,2210,2211,2212,2213,2216,2217,2218,2219,2250,2251,2252,2260,2261,2262,2263,2267,2270,2271,2280,2282,2283,2284,2285,2286,2287,2290,2311,2312,2313,2314,2315,2317,2500,2501,2510,2511,2512,2513,2515,2540,2700,2703,2710,2720,2721,2724,2730,2740,2741,2742
2.0,1.0,0.8340000000000001,1.314,1.178,5.454000000000001,1.994,0.0,0.3,0.5720000000000001,0.312,0.5720000000000001,0.596,0.294,0.43799999999999994,0.23800000000000002,0.778,0.44799999999999995,0.0,0.55,0.48,0.358,0.332,0.33799999999999997,0.924,0.3,0.91,0.0,0.16399999999999998,0.254,0.0,0.0,0.0,0.11599999999999999,1.0,0.12,0.254,0.312,0.0,0.326,1.508,0.41600000000000004,0.2,0.506,4.0,0.18,1.046,0.0,0.46399999999999997,0.268,0.6839999999999999,0.001,0.0,340.0,1.226,0.988,0.002,0.564
3.0,1.0,0.001,1.442,0.596,0.462,0.932,0.009000000000000001,3.226,0.364,0.648,0.87,0.41,2.3760000000000003,0.632,0.804,0.632,0.134,15.0,0.96,1.05,0.622,0.294,1.062,0.44799999999999995,0.126,1.342,0.0,0.184,0.23199999999999998,0.0,0.0,0.038,0.16399999999999998,1.0,0.166,0.002,0.0,1.0,0.0,1.508,0.244,7.0,4.0,16.0,0.48200000000000004,0.0,0.0,4.375,0.0,0.122,0.001,0.0,308.0,0.89,0.186,0.001,0.0
4.0,1.0,1.922,1.1540000000000001,0.784,1.328,1.3780000000000001,0.001,1.3639999999999999,0.7979999999999999,0.09,0.31,0.5720000000000001,0.528,0.36200000000000004,0.792,0.9420000000000001,0.278,0.0,2.18,0.88,0.622,0.166,0.804,0.406,0.282,0.506,0.46799999999999997,0.36,0.0,0.364,0.0,0.055999999999999994,0.094,60.0,0.1,1.068,0.24,0.0,0.0,0.0,0.24,2.0,0.332,8.0,0.0,0.0,0.504,0.958,0.0,0.486,0.002,0.0,672.0,0.22,0.001,0.008,0.0
5.0,1.0,1.03,0.0,8.89,1.276,0.001,0.0,1.06,0.706,0.136,0.28600000000000003,0.0,0.6659999999999999,0.0,0.002,1.57,392.0,0.0,3.242,0.386,0.386,0.862,0.001,0.386,0.204,0.8140000000000001,0.06,0.168,0.0,0.23800000000000002,4.0,0.08800000000000001,0.08,2.0,0.23,0.001,0.0,0.0,0.0,1.508,0.34,0.4,2.0,0.002,0.222,1.046,0.0,0.488,0.308,0.188,0.003,0.0,1038.0,0.20199999999999999,180.0,12.0,0.0
6.0,1.0,0.618,0.001,3.446,0.72,0.696,0.001,1.994,1.182,0.292,0.332,0.0,0.272,0.33,0.001,1.422,0.10400000000000001,0.0,0.892,0.284,0.512,0.552,0.782,1.014,0.0,0.9620000000000001,0.0,0.132,0.0,0.0,0.006999999999999999,0.0,0.068,1.0,0.902,0.001,23.0,0.0,0.0,0.0,0.298,4.0,2.0,0.002,0.10400000000000001,1.046,0.608,1.0,0.002,0.37,0.003,1.574,530.0,0.114,1.136,0.267,0.0
7.0,1.0,1.306,0.442,1.9340000000000002,0.862,0.9159999999999999,0.0,1.236,0.306,0.382,0.244,0.504,0.43799999999999994,0.436,0.001,0.122,0.0,0.0,0.6559999999999999,0.544,0.35,0.474,0.47,1.64,0.0,0.44,0.0,0.172,0.182,0.17,0.0,0.0,0.32399999999999995,1.0,0.406,1.0,0.015,0.0,0.0,1.508,0.406,4.0,2.0,4.0,0.502,0.0,0.536,0.292,0.0,0.42,2.333,0.787,500.0,0.38,0.001,2.0,0.0
